epci,Aspects,Count
200060010,Qualité des matériaux,24.4897959183673
200068955,Accessibilité,6.25
200068955,Déchets,16.6666666666667
200068955,Eco-construction,10.4166666666667
200068955,Economies d'énergie,22.9166666666667
200068955,Energies renouvelables,12.5
200068955,Qualité de l'air,4.16666666666667
200068955,Qualité de l'eau,4.16666666666667
200068955,Qualité des matériaux,22.9166666666667
200071868,Accessibilité,5.12820512820513
200071868,Assainissement,2.56410256410256
200071868,Déchets,10.2564102564103
200071868,Eco-construction,5.12820512820513
200071868,Economies d'énergie,23.0769230769231
200071868,Energies renouvelables,17.9487179487179
200071868,Qualité de l'air,5.12820512820513
200071868,Qualité de l'eau,7.69230769230769
200071868,Qualité des matériaux,23.0769230769231
200071553,Accessibilité,9.09090909090909
200071553,Assainissement,2.5974025974026
200071553,Autre,3.8961038961039
200071553,Déchets,12.987012987013
200071553,Eco-construction,7.79220779220779
200071553,Economies d'énergie,20.7792207792208
200071553,Energies renouvelables,15.5844155844156
200071553,Qualité de l'air,2.5974025974026
200071553,Qualité de l'eau,3.8961038961039
200071553,Qualité des matériaux,20.7792207792208
200071876,Accessibilité,7.35294117647059
200071876,Assainissement,1.47058823529412
200071876,Déchets,8.82352941176471
200071876,Eco-construction,10.2941176470588
200071876,Economies d'énergie,29.4117647058824
200071876,Energies renouvelables,16.1764705882353
200071876,Qualité de l'air,1.47058823529412
200071876,Qualité de l'eau,4.41176470588235
200071876,Qualité des matériaux,20.5882352941176
244900015,Accessibilité,9.33333333333333
244900015,Assainissement,2.66666666666667
244900015,Autre,2.66666666666667
244900015,Déchets,14.6666666666667
244900015,Eco-construction,6.66666666666667
244900015,Economies d'énergie,20
244900015,Energies renouvelables,14.6666666666667
244900015,Qualité de l'air,5.33333333333333
244900015,Qualité de l'eau,5.33333333333333
244900015,Qualité des matériaux,18.6666666666667
200071678,Accessibilité,8.06451612903226
200071678,Autre,1.61290322580645
200071678,Déchets,8.06451612903226
200071678,Eco-construction,11.2903225806452
200071678,Economies d'énergie,24.1935483870968
200071678,Energies renouvelables,14.5161290322581
200071678,Qualité de l'air,4.83870967741935
200071678,Qualité de l'eau,3.2258064516129
200071678,Qualité des matériaux,24.1935483870968
244900809,Accessibilité,20
244900809,Autre,2.22222222222222
244900809,Déchets,13.3333333333333
244900809,Eco-construction,6.66666666666667
