V1,V2,V3
200070233,menuiserie-charpente&Stable&Apprentis,1.4
200070233,menuiserie-charpente&Stable&Intérimaires,1
200070233,maçonnerie-carrelage&A la hausse&CDD,1.5
200070233,maçonnerie-carrelage&A la hausse&CDI,4.66666666666667
200070233,maçonnerie-carrelage&A la hausse&Apprentis,1.33333333333333
200070233,maçonnerie-carrelage&A la hausse&Intérimaires,0
200070233,maçonnerie-carrelage&Stable&CDD,1
200070233,maçonnerie-carrelage&Stable&CDI,4.2
200070233,maçonnerie-carrelage&Stable&Apprentis,1
200070233,maçonnerie-carrelage&Stable&Intérimaires,0
200070233,Peinture&A la hausse&CDD,0
200070233,Peinture&A la hausse&CDI,3
200070233,Peinture&A la hausse&Apprentis,1.5
200070233,Peinture&A la hausse&Intérimaires,0
200070233,Peinture&Stable&CDD,0
200070233,Peinture&Stable&CDI,4.3
200070233,Peinture&Stable&Apprentis,1.4
200070233,Peinture&Stable&Intérimaires,1.5
200070233,Electricité&A la hausse&CDD,0
200070233,Electricité&A la hausse&CDI,2.5
200070233,Electricité&A la hausse&Apprentis,2
200070233,Electricité&A la hausse&Intérimaires,0
200070233,Electricité&Stable&CDD,0
200070233,Electricité&Stable&CDI,2.33333333333333
200070233,Electricité&Stable&Apprentis,2
200070233,Electricité&Stable&Intérimaires,0
200070233,plâtrerie-isolation&A la hausse&CDD,2
200070233,plâtrerie-isolation&A la hausse&CDI,3
200070233,plâtrerie-isolation&A la hausse&Apprentis,0
200070233,plâtrerie-isolation&A la hausse&Intérimaires,0
200070233,plâtrerie-isolation&Stable&CDD,1
200070233,plâtrerie-isolation&Stable&CDI,1.5
200070233,plâtrerie-isolation&Stable&Apprentis,1
200070233,plâtrerie-isolation&Stable&Intérimaires,0
248500258,plomberie-chauffage-couverture&A la hausse&CDD,0
248500258,plomberie-chauffage-couverture&A la hausse&CDI,5
248500258,plomberie-chauffage-couverture&A la hausse&Apprentis,1.5
248500258,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
248500258,plomberie-chauffage-couverture&Stable&CDD,1.33333333333333
248500258,plomberie-chauffage-couverture&Stable&CDI,3.68421052631579
248500258,plomberie-chauffage-couverture&Stable&Apprentis,1.16666666666667
248500258,plomberie-chauffage-couverture&Stable&Intérimaires,1
248500258,menuiserie-charpente&A la hausse&CDD,1
248500258,menuiserie-charpente&A la hausse&CDI,3.54545454545455
248500258,menuiserie-charpente&A la hausse&Apprentis,1
248500258,menuiserie-charpente&A la hausse&Intérimaires,1
248500258,menuiserie-charpente&Stable&CDD,1
248500258,menuiserie-charpente&Stable&CDI,3.61111111111111
248500258,menuiserie-charpente&Stable&Apprentis,1
248500258,menuiserie-charpente&Stable&Intérimaires,0
248500258,maçonnerie-carrelage&A la hausse&CDD,1
248500258,maçonnerie-carrelage&A la hausse&CDI,5.25
248500258,maçonnerie-carrelage&A la hausse&Apprentis,1
248500258,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500258,maçonnerie-carrelage&Stable&CDD,1.14285714285714
248500258,maçonnerie-carrelage&Stable&CDI,8.93333333333333
248500258,maçonnerie-carrelage&Stable&Apprentis,2.33333333333333
248500258,maçonnerie-carrelage&Stable&Intérimaires,1.33333333333333
248500258,Peinture&A la hausse&CDD,1.33333333333333
248500258,Peinture&A la hausse&CDI,2
248500258,Peinture&A la hausse&Apprentis,1.66666666666667
248500258,Peinture&A la hausse&Intérimaires,1
248500258,Peinture&Stable&CDD,1
248500258,Peinture&Stable&CDI,2.16666666666667
248500258,Peinture&Stable&Apprentis,1
248500258,Peinture&Stable&Intérimaires,0
248500258,Electricité&A la hausse&CDD,3
248500258,Electricité&A la hausse&CDI,2.33333333333333
248500258,Electricité&A la hausse&Apprentis,2
248500258,Electricité&A la hausse&Intérimaires,1
248500258,Electricité&Stable&CDD,1
248500258,Electricité&Stable&CDI,2.4
248500258,Electricité&Stable&Apprentis,1.5
248500258,Electricité&Stable&Intérimaires,0
248500258,plâtrerie-isolation&A la hausse&CDD,0
248500258,plâtrerie-isolation&A la hausse&CDI,2
248500258,plâtrerie-isolation&A la hausse&Apprentis,0
248500258,plâtrerie-isolation&A la hausse&Intérimaires,0
248500258,plâtrerie-isolation&Stable&CDD,1
248500258,plâtrerie-isolation&Stable&CDI,2.66666666666667
248500258,plâtrerie-isolation&Stable&Apprentis,1.5
248500258,plâtrerie-isolation&Stable&Intérimaires,1
248500191,plomberie-chauffage-couverture&A la hausse&CDD,0
248500191,plomberie-chauffage-couverture&A la hausse&CDI,3
248500191,plomberie-chauffage-couverture&A la hausse&Apprentis,1
248500191,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
248500191,plomberie-chauffage-couverture&Stable&CDD,0
248500191,plomberie-chauffage-couverture&Stable&CDI,3
248500191,plomberie-chauffage-couverture&Stable&Apprentis,1
248500191,plomberie-chauffage-couverture&Stable&Intérimaires,0
248500191,menuiserie-charpente&A la hausse&CDD,1.5
248500191,menuiserie-charpente&A la hausse&CDI,4
248500191,menuiserie-charpente&A la hausse&Apprentis,1
248500191,menuiserie-charpente&A la hausse&Intérimaires,0
248500191,menuiserie-charpente&Stable&CDD,0
248500191,menuiserie-charpente&Stable&CDI,5.25
248500191,menuiserie-charpente&Stable&Apprentis,1
248500191,menuiserie-charpente&Stable&Intérimaires,0
248500191,maçonnerie-carrelage&A la hausse&CDD,0
248500191,maçonnerie-carrelage&A la hausse&CDI,5
248500191,maçonnerie-carrelage&A la hausse&Apprentis,1
248500191,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500191,maçonnerie-carrelage&Stable&CDD,0
248500191,maçonnerie-carrelage&Stable&CDI,2.66666666666667
248500191,maçonnerie-carrelage&Stable&Apprentis,1
248500191,maçonnerie-carrelage&Stable&Intérimaires,0
248500191,Peinture&A la hausse&CDD,1
248500191,Peinture&A la hausse&CDI,1
248500191,Peinture&A la hausse&Apprentis,1
248500191,Peinture&A la hausse&Intérimaires,0
248500191,Peinture&Stable&CDD,9
248500191,Peinture&Stable&CDI,6.66666666666667
248500191,Peinture&Stable&Apprentis,2
248500191,Peinture&Stable&Intérimaires,2
248500191,Electricité&Stable&CDD,1
248500191,Electricité&Stable&CDI,1
248500191,Electricité&Stable&Apprentis,0
248500191,Electricité&Stable&Intérimaires,0
248500191,plâtrerie-isolation&Stable&CDD,1
248500191,plâtrerie-isolation&Stable&CDI,1
248500191,plâtrerie-isolation&Stable&Apprentis,1
248500191,plâtrerie-isolation&Stable&Intérimaires,0
248500662,plomberie-chauffage-couverture&A la hausse&CDD,1
248500662,plomberie-chauffage-couverture&A la hausse&CDI,2.75
248500662,plomberie-chauffage-couverture&A la hausse&Apprentis,1
248500662,plomberie-chauffage-couverture&A la hausse&Intérimaires,1
248500662,plomberie-chauffage-couverture&Stable&CDD,0
248500662,plomberie-chauffage-couverture&Stable&CDI,2.25
248500662,plomberie-chauffage-couverture&Stable&Apprentis,1
248500662,plomberie-chauffage-couverture&Stable&Intérimaires,0
248500662,menuiserie-charpente&A la hausse&CDD,1
248500662,menuiserie-charpente&A la hausse&CDI,7
248500662,menuiserie-charpente&A la hausse&Apprentis,3.33333333333333
248500662,menuiserie-charpente&A la hausse&Intérimaires,0
248500662,menuiserie-charpente&Stable&CDD,0
248500662,menuiserie-charpente&Stable&CDI,1
248500662,menuiserie-charpente&Stable&Apprentis,1
248500662,menuiserie-charpente&Stable&Intérimaires,1
248500662,maçonnerie-carrelage&A la hausse&CDD,0
248500662,maçonnerie-carrelage&A la hausse&CDI,7
248500662,maçonnerie-carrelage&A la hausse&Apprentis,1
