epci,annee,Electricité,maçonnerie-carrelage,menuiserie-charpente,Peinture,plâtrerie-isolation,plomberie-chauffage-couverture
200071934,2014,0,0,0,0,1,0
200071934,2015,1,3,1,0,0,0
200071934,2016,0,1,1,0,2,0
200071934,2017,0,2,2,0,0,0
200072882,2014,0,0,0,0,1,0
200072882,2015,0,0,0,0,0,0
200072882,2016,0,2,2,0,0,0
200072882,2017,1,1,3,0,1,0
200070233,2014,0,2,0,0,2,0
200070233,2015,1,2,1,1,0,0
200070233,2016,0,0,0,1,0,0
200070233,2017,3,2,3,1,0,1
248500258,2014,3,1,0,0,0,2
248500258,2015,0,1,3,0,1,0
248500258,2016,4,0,0,0,0,0
248500258,2017,0,1,1,0,0,0
248500191,2014,0,0,1,0,0,0
248500191,2015,0,0,0,1,0,0
248500191,2016,0,1,0,0,0,0
248500191,2017,0,2,1,1,0,0
248500662,2014,0,0,0,0,0,0
248500662,2015,0,0,0,0,0,0
248500662,2016,0,0,1,0,0,0
248500662,2017,0,1,0,0,0,0
248500464,2014,0,1,1,0,0,0
248500464,2015,0,1,1,0,0,0
248500464,2016,0,3,0,0,0,0
248500464,2017,0,1,2,0,0,0
200073260,2014,0,0,0,0,0,0
200073260,2015,2,0,0,1,0,0
200073260,2016,0,2,2,0,0,0
200073260,2017,0,0,2,1,0,0
248500340,2014,0,1,0,0,2,0
248500340,2015,0,0,1,0,1,0
248500340,2016,0,1,0,0,1,0
248500340,2017,2,3,1,0,1,0
200023778,2014,0,2,0,2,0,0
200023778,2015,0,1,0,0,1,0
200023778,2016,0,2,0,0,0,1
200023778,2017,0,0,1,0,1,1
200071546,2014,2,4,0,0,1,1
200071546,2015,1,1,3,0,0,0
200071546,2016,2,7,2,1,2,0
200071546,2017,1,1,2,0,0,2
248500530,2014,0,0,0,0,0,0
248500530,2015,1,0,0,0,0,0
248500530,2016,2,0,3,0,0,0
248500530,2017,3,1,0,0,0,0
200071918,2014,0,3,0,0,0,0
200071918,2015,1,3,0,0,0,0
200071918,2016,0,3,1,0,0,0
200071918,2017,0,5,0,0,2,0
248500589,2014,5,1,1,1,0,0
248500589,2015,4,3,1,0,1,0
248500589,2016,2,1,1,0,0,0
248500589,2017,1,3,5,1,6,0
248500415,2014,0,2,0,0,0,0
248500415,2015,0,0,0,0,0,0
248500415,2016,1,0,1,0,0,0
248500415,2017,0,0,0,0,0,0
200071900,2014,0,0,0,0,0,0
200071900,2015,0,0,0,0,0,0
200071900,2016,0,1,0,0,1,0
200071900,2017,1,1,2,0,0,0
248500621,2014,0,0,1,0,1,1
248500621,2015,0,1,0,2,0,0
248500621,2016,0,0,0,1,1,1
248500621,2017,1,1,0,2,0,1
200060010,2014,0,0,0,0,0,0
200060010,2015,0,1,2,0,0,0
200060010,2016,0,0,0,0,1,0
200060010,2017,1,0,2,0,1,1
200068955,2014,0,3,3,0,2,0
200068955,2015,0,2,1,0,1,0
200068955,2016,3,1,0,0,0,0
200068955,2017,1,2,0,1,0,0
200071868,2014,0,0,0,3,0,0
200071868,2015,2,0,0,0,0,1
200071868,2016,0,1,0,0,0,0
200071868,2017,4,0,0,0,2,0
200071553,2014,1,1,1,0,0,0
200071553,2015,1,0,0,1,1,1
200071553,2016,0,1,3,0,0,0
200071553,2017,5,0,1,0,4,0
200071876,2014,1,1,0,0,0,0
200071876,2015,0,0,0,1,2,0
200071876,2016,2,0,1,0,1,0
200071876,2017,2,5,4,0,0,0
244900015,2014,0,0,1,0,1,0
244900015,2015,3,2,1,0,4,0
244900015,2016,2,0,1,0,1,0
244900015,2017,1,11,1,5,3,0
