EPCI;Activité;Moyenne_Effectits;Moyenne_Zone_Intervention
200071900;Electricité;1.85714285714286;31.4285714285714
200071900;maçonnerie-carrelage;4.28571428571429;38.4210526315789
200071900;menuiserie-charpente;1.83333333333333;37.5
200071900;Peinture;1.66666666666667;50
200071900;plâtrerie-isolation;1.57142857142857;41.6666666666667
200071900;plomberie-chauffage-couverture;2.39130434782609;42.0454545454545
200071900;Travaux publics, Paysage;4;61.7647058823529
248500415;Autre;1;80
248500415;Electricité;1.5;10
248500415;maçonnerie-carrelage;5;56
248500415;menuiserie-charpente;4.57142857142857;90.7692307692308
248500415;Peinture;4.28571428571429;36.4285714285714
248500415;plomberie-chauffage-couverture;3.13333333333333;21.6666666666667
248500415;Travaux publics, Paysage;4.5;46
248500621;Autre;2.33333333333333;100
248500621;Electricité;5.14285714285714;55.7142857142857
248500621;maçonnerie-carrelage;3;50.4545454545455
248500621;menuiserie-charpente;9.4;92
248500621;Peinture;3.0625;97.3333333333333
248500621;plâtrerie-isolation;3.125;53.75
248500621;plomberie-chauffage-couverture;7.47058823529412;63.9285714285714
248500621;Travaux publics, Paysage;8.5;50
200060010;Autre;3.66666666666667;360
200060010;Electricité;5.33333333333333;62.7272727272727
200060010;maçonnerie-carrelage;6.6875;50.3333333333333
200060010;menuiserie-charpente;4.03448275862069;52.4074074074074
200060010;Peinture;5;55
200060010;plâtrerie-isolation;1.16666666666667;42
200060010;plomberie-chauffage-couverture;4.30769230769231;30
200068955;Autre;1.16666666666667;293.75
200068955;Electricité;2.4;179
200068955;maçonnerie-carrelage;3.93333333333333;70
200068955;menuiserie-charpente;4.92592592592593;94.8
200068955;Métiers de la pierre;3.66666666666667;180
200068955;Peinture;3.5;80
200068955;plâtrerie-isolation;2.5;30.8333333333333
200068955;plomberie-chauffage-couverture;2.83333333333333;40.6521739130435
200068955;Travaux publics, Paysage;6.66666666666667;43.3333333333333
200071868;Autre;1;40
200071868;Electricité;5.66666666666667;33.8888888888889
200071868;maçonnerie-carrelage;3.125;33.125
200071868;menuiserie-charpente;5.25;85.4545454545455
200071868;Peinture;5.5;39.375
200071868;plâtrerie-isolation;4.5;53
200071868;plomberie-chauffage-couverture;4.15384615384615;140.416666666667
200071868;Travaux publics, Paysage;3.1875;49.6666666666667
200071553;Autre;9.08333333333333;135
200071553;Electricité;4.46875;122.166666666667
200071553;maçonnerie-carrelage;4.06451612903226;50.3448275862069
200071553;menuiserie-charpente;3.02325581395349;71.2820512820513
200071553;Métiers de la pierre;3.2;44
200071553;Peinture;0.428571428571429;33.3333333333333
200071553;plâtrerie-isolation;6.66666666666667;78.8888888888889
200071553;plomberie-chauffage-couverture;3.03030303030303;48.8333333333333
200071553;Travaux publics, Paysage;2.2;71.25
200071876;Autre;4.25;190
200071876;Electricité;4.11538461538461;43.4615384615385
200071876;maçonnerie-carrelage;4.52631578947368;43.3333333333333
200071876;menuiserie-charpente;3.96428571428571;98.3333333333333
200071876;Métiers de la pierre;3;27.5
200071876;Peinture;2.85714285714286;28.3333333333333
200071876;plâtrerie-isolation;1.57142857142857;41.6666666666667
200071876;plomberie-chauffage-couverture;2.75;39.8148148148148
200071876;Travaux publics, Paysage;1.63636363636364;72.7272727272727
244900015;Autre;2.9047619047619;70.5
244900015;Electricité;3.16666666666667;58.25
244900015;maçonnerie-carrelage;5.6;41.551724137931
244900015;menuiserie-charpente;6.28125;86.0645161290323
244900015;Métiers de la pierre;6.75;45
244900015;Peinture;4.64285714285714;48.8461538461538
244900015;plâtrerie-isolation;4.2;41.6666666666667
244900015;plomberie-chauffage-couverture;2.98148148148148;43.8297872340426
244900015;Travaux publics, Paysage;1.68421052631579;146.842105263158
200071678;Autre;16.75;267.5
200071678;Electricité;4.45833333333333;52.2916666666667
200071678;maçonnerie-carrelage;7;47.2413793103448
