epci,aspect,interet,freq
244400644,Energies renouvelables,intérêt personnel,63.6363636363636
244400644,Energies renouvelables,évolution de la demande client,36.3636363636364
244400644,Economies d'énergie,intérêt personnel,50
244400644,Economies d'énergie,évolution de la demande client,38.8888888888889
244400644,Economies d'énergie,contrainte règlementaire,11.1111111111111
244400644,Eco-construction,intérêt personnel,57.1428571428571
244400644,Eco-construction,évolution de la demande client,28.5714285714286
244400644,Eco-construction,contrainte règlementaire,14.2857142857143
244400644,Déchets,intérêt personnel,54.5454545454545
244400644,Déchets,contrainte règlementaire,45.4545454545455
244400644,Accessibilité,intérêt personnel,66.6666666666667
244400644,Accessibilité,évolution de la demande client,33.3333333333333
244400404,Qualité des matériaux,intérêt personnel,50
244400404,Qualité des matériaux,évolution de la demande client,34.375
244400404,Qualité des matériaux,contrainte règlementaire,15.625
244400404,Qualité de l'eau,intérêt personnel,54.5454545454545
244400404,Qualité de l'eau,évolution de la demande client,27.2727272727273
244400404,Qualité de l'eau,contrainte règlementaire,18.1818181818182
244400404,Qualité de l'air,intérêt personnel,40
244400404,Qualité de l'air,évolution de la demande client,20
244400404,Qualité de l'air,contrainte règlementaire,40
244400404,Energies renouvelables,intérêt personnel,40
244400404,Energies renouvelables,évolution de la demande client,28
244400404,Energies renouvelables,contrainte règlementaire,32
244400404,Economies d'énergie,intérêt personnel,37.5
244400404,Economies d'énergie,évolution de la demande client,37.5
244400404,Economies d'énergie,contrainte règlementaire,25
244400404,Eco-construction,intérêt personnel,50
244400404,Eco-construction,évolution de la demande client,33.3333333333333
244400404,Eco-construction,contrainte règlementaire,16.6666666666667
244400404,Déchets,intérêt personnel,60
244400404,Déchets,évolution de la demande client,8
244400404,Déchets,contrainte règlementaire,32
244400404,Assainissement,intérêt personnel,50
244400404,Assainissement,évolution de la demande client,25
244400404,Assainissement,contrainte règlementaire,25
244400404,Accessibilité,intérêt personnel,35.2941176470588
244400404,Accessibilité,évolution de la demande client,35.2941176470588
244400404,Accessibilité,contrainte règlementaire,29.4117647058824
200072726,Qualité des matériaux,intérêt personnel,75
200072726,Qualité des matériaux,évolution de la demande client,25
200072726,Qualité de l'eau,intérêt personnel,100
200072726,Qualité de l'air,intérêt personnel,66.6666666666667
200072726,Qualité de l'air,contrainte règlementaire,33.3333333333333
200072726,Energies renouvelables,intérêt personnel,28.5714285714286
200072726,Energies renouvelables,évolution de la demande client,42.8571428571429
200072726,Energies renouvelables,contrainte règlementaire,28.5714285714286
200072726,Economies d'énergie,intérêt personnel,40
200072726,Economies d'énergie,évolution de la demande client,40
200072726,Economies d'énergie,contrainte règlementaire,20
200072726,Eco-construction,intérêt personnel,60
200072726,Eco-construction,évolution de la demande client,20
200072726,Eco-construction,contrainte règlementaire,20
200072726,Déchets,intérêt personnel,50
200072726,Déchets,contrainte règlementaire,50
200072726,Accessibilité,intérêt personnel,50
200072726,Accessibilité,contrainte règlementaire,50
244400552,Qualité des matériaux,intérêt personnel,60
244400552,Qualité des matériaux,évolution de la demande client,40
244400552,Energies renouvelables,intérêt personnel,66.6666666666667
244400552,Energies renouvelables,évolution de la demande client,33.3333333333333
244400552,Economies d'énergie,intérêt personnel,30
244400552,Economies d'énergie,évolution de la demande client,60
244400552,Economies d'énergie,contrainte règlementaire,10
244400552,Eco-construction,intérêt personnel,50
244400552,Eco-construction,évolution de la demande client,50
244400552,Déchets,intérêt personnel,50
244400552,Déchets,évolution de la demande client,16.6666666666667
244400552,Déchets,contrainte règlementaire,33.3333333333333
244400552,Accessibilité,intérêt personnel,50
244400552,Accessibilité,évolution de la demande client,50
244900809,Qualité des matériaux,intérêt personnel,41.6666666666667
244900809,Qualité des matériaux,évolution de la demande client,50
244900809,Qualité des matériaux,contrainte règlementaire,8.33333333333333
244900809,Qualité de l'eau,intérêt personnel,66.6666666666667
244900809,Qualité de l'eau,évolution de la demande client,33.3333333333333
244900809,Qualité de l'air,intérêt personnel,40
244900809,Qualité de l'air,évolution de la demande client,40
244900809,Qualité de l'air,contrainte règlementaire,20
244900809,Energies renouvelables,intérêt personnel,37.5
244900809,Energies renouvelables,évolution de la demande client,37.5
244900809,Energies renouvelables,contrainte règlementaire,25
244900809,Economies d'énergie,intérêt personnel,30.7692307692308
244900809,Economies d'énergie,évolution de la demande client,30.7692307692308
244900809,Economies d'énergie,contrainte règlementaire,38.4615384615385
244900809,Eco-construction,évolution de la demande client,50
244900809,Eco-construction,contrainte règlementaire,50
244900809,Déchets,intérêt personnel,42.8571428571429
244900809,Déchets,contrainte règlementaire,57.1428571428571
244900809,Accessibilité,intérêt personnel,21.4285714285714
244900809,Accessibilité,évolution de la demande client,50
244900809,Accessibilité,contrainte règlementaire,28.5714285714286
200071678,Qualité des matériaux,intérêt personnel,28.5714285714286
200071678,Qualité des matériaux,évolution de la demande client,57.1428571428571
200071678,Qualité des matériaux,contrainte règlementaire,14.2857142857143
200071678,Qualité de l'eau,intérêt personnel,100
200071678,Qualité de l'air,intérêt personnel,33.3333333333333
200071678,Qualité de l'air,contrainte règlementaire,66.6666666666667
200071678,Energies renouvelables,intérêt personnel,30
200071678,Energies renouvelables,évolution de la demande client,50
200071678,Energies renouvelables,contrainte règlementaire,20
200071678,Economies d'énergie,intérêt personnel,35
200071678,Economies d'énergie,évolution de la demande client,50
200071678,Economies d'énergie,contrainte règlementaire,15
200071678,Eco-construction,intérêt personnel,22.2222222222222
200071678,Eco-construction,évolution de la demande client,44.4444444444444
200071678,Eco-construction,contrainte règlementaire,33.3333333333333
200071678,Déchets,intérêt personnel,33.3333333333333
200071678,Déchets,évolution de la demande client,22.2222222222222
200071678,Déchets,contrainte règlementaire,44.4444444444444
200071678,Accessibilité,intérêt personnel,20
200071678,Accessibilité,évolution de la demande client,60
200071678,Accessibilité,contrainte règlementaire,20
244900015,Qualité des matériaux,intérêt personnel,36.8421052631579
244900015,Qualité des matériaux,évolution de la demande client,36.8421052631579
244900015,Qualité des matériaux,contrainte règlementaire,26.3157894736842
244900015,Qualité de l'eau,intérêt personnel,37.5
244900015,Qualité de l'eau,évolution de la demande client,50
244900015,Qualité de l'eau,contrainte règlementaire,12.5
244900015,Qualité de l'air,intérêt personnel,37.5
244900015,Qualité de l'air,évolution de la demande client,50
244900015,Qualité de l'air,contrainte règlementaire,12.5
244900015,Energies renouvelables,intérêt personnel,41.1764705882353
244900015,Energies renouvelables,évolution de la demande client,47.0588235294118
244900015,Energies renouvelables,contrainte règlementaire,11.7647058823529
244900015,Economies d'énergie,intérêt personnel,32.1428571428571
244900015,Economies d'énergie,évolution de la demande client,46.4285714285714
244900015,Economies d'énergie,contrainte règlementaire,21.4285714285714
244900015,Eco-construction,intérêt personnel,55.5555555555556
244900015,Eco-construction,évolution de la demande client,33.3333333333333
244900015,Eco-construction,contrainte règlementaire,11.1111111111111
244900015,Déchets,intérêt personnel,41.1764705882353
244900015,Déchets,évolution de la demande client,29.4117647058824
244900015,Déchets,contrainte règlementaire,29.4117647058824
244900015,Assainissement,évolution de la demande client,100
244900015,Accessibilité,intérêt personnel,41.6666666666667
244900015,Accessibilité,évolution de la demande client,33.3333333333333
244900015,Accessibilité,contrainte règlementaire,25
200071876,Qualité des matériaux,intérêt personnel,53.3333333333333
200071876,Qualité des matériaux,évolution de la demande client,33.3333333333333
200071876,Qualité des matériaux,contrainte règlementaire,13.3333333333333
200071876,Qualité de l'eau,intérêt personnel,66.6666666666667
200071876,Qualité de l'eau,évolution de la demande client,33.3333333333333
200071876,Qualité de l'air,évolution de la demande client,100
200071876,Energies renouvelables,intérêt personnel,30.7692307692308
200071876,Energies renouvelables,évolution de la demande client,53.8461538461538
200071876,Energies renouvelables,contrainte règlementaire,15.3846153846154
200071876,Economies d'énergie,intérêt personnel,33.3333333333333
200071876,Economies d'énergie,évolution de la demande client,44.4444444444444
200071876,Economies d'énergie,contrainte règlementaire,22.2222222222222
200071876,Eco-construction,intérêt personnel,42.8571428571429
200071876,Eco-construction,évolution de la demande client,14.2857142857143
200071876,Eco-construction,contrainte règlementaire,42.8571428571429
200071876,Déchets,intérêt personnel,83.3333333333333
200071876,Déchets,contrainte règlementaire,16.6666666666667
200071876,Assainissement,évolution de la demande client,100
200071876,Accessibilité,intérêt personnel,20
200071876,Accessibilité,évolution de la demande client,60
200071876,Accessibilité,contrainte règlementaire,20
200071553,Qualité des matériaux,intérêt personnel,52.1739130434783
200071553,Qualité des matériaux,évolution de la demande client,26.0869565217391
200071553,Qualité des matériaux,contrainte règlementaire,21.7391304347826
200071553,Qualité de l'eau,intérêt personnel,40
200071553,Qualité de l'eau,évolution de la demande client,20
200071553,Qualité de l'eau,contrainte règlementaire,40
200071553,Qualité de l'air,intérêt personnel,25
200071553,Qualité de l'air,évolution de la demande client,25
200071553,Qualité de l'air,contrainte règlementaire,50
200071553,Energies renouvelables,intérêt personnel,31.5789473684211
200071553,Energies renouvelables,évolution de la demande client,36.8421052631579
200071553,Energies renouvelables,contrainte règlementaire,31.5789473684211
200071553,Economies d'énergie,intérêt personnel,33.3333333333333
200071553,Economies d'énergie,évolution de la demande client,50
200071553,Economies d'énergie,contrainte règlementaire,16.6666666666667
200071553,Eco-construction,intérêt personnel,33.3333333333333
200071553,Eco-construction,évolution de la demande client,44.4444444444444
200071553,Eco-construction,contrainte règlementaire,22.2222222222222
200071553,Déchets,intérêt personnel,42.8571428571429
200071553,Déchets,évolution de la demande client,7.14285714285714
200071553,Déchets,contrainte règlementaire,50
200071553,Assainissement,intérêt personnel,33.3333333333333
200071553,Assainissement,évolution de la demande client,33.3333333333333
200071553,Assainissement,contrainte règlementaire,33.3333333333333
200071553,Accessibilité,intérêt personnel,12.5
200071553,Accessibilité,évolution de la demande client,62.5
200071553,Accessibilité,contrainte règlementaire,25
200071868,Qualité des matériaux,intérêt personnel,50
200071868,Qualité des matériaux,évolution de la demande client,33.3333333333333
200071868,Qualité des matériaux,contrainte règlementaire,16.6666666666667
200071868,Qualité de l'eau,intérêt personnel,66.6666666666667
200071868,Qualité de l'eau,évolution de la demande client,33.3333333333333
200071868,Qualité de l'air,intérêt personnel,100
200071868,Energies renouvelables,intérêt personnel,18.1818181818182
200071868,Energies renouvelables,évolution de la demande client,45.4545454545455
200071868,Energies renouvelables,contrainte règlementaire,36.3636363636364
200071868,Economies d'énergie,intérêt personnel,33.3333333333333
200071868,Economies d'énergie,évolution de la demande client,46.6666666666667
200071868,Economies d'énergie,contrainte règlementaire,20
200071868,Eco-construction,intérêt personnel,33.3333333333333
200071868,Eco-construction,évolution de la demande client,33.3333333333333
200071868,Eco-construction,contrainte règlementaire,33.3333333333333
200071868,Déchets,intérêt personnel,75
200071868,Déchets,contrainte règlementaire,25
200071868,Assainissement,évolution de la demande client,100
200071868,Accessibilité,intérêt personnel,50
200071868,Accessibilité,contrainte règlementaire,50
200068955,Qualité des matériaux,intérêt personnel,60
200068955,Qualité des matériaux,évolution de la demande client,26.6666666666667
200068955,Qualité des matériaux,contrainte règlementaire,13.3333333333333
200068955,Qualité de l'eau,intérêt personnel,66.6666666666667
200068955,Qualité de l'eau,contrainte règlementaire,33.3333333333333
200068955,Qualité de l'air,intérêt personnel,100
200068955,Energies renouvelables,intérêt personnel,40
200068955,Energies renouvelables,évolution de la demande client,50
200068955,Energies renouvelables,contrainte règlementaire,10
200068955,Economies d'énergie,intérêt personnel,37.5
200068955,Economies d'énergie,évolution de la demande client,37.5
200068955,Economies d'énergie,contrainte règlementaire,25
200068955,Eco-construction,intérêt personnel,57.1428571428571
200068955,Eco-construction,évolution de la demande client,14.2857142857143
200068955,Eco-construction,contrainte règlementaire,28.5714285714286
200068955,Déchets,intérêt personnel,50
200068955,Déchets,évolution de la demande client,10
200068955,Déchets,contrainte règlementaire,40
200068955,Accessibilité,évolution de la demande client,75
200068955,Accessibilité,contrainte règlementaire,25
200060010,Qualité des matériaux,intérêt personnel,41.1764705882353
200060010,Qualité des matériaux,évolution de la demande client,41.1764705882353
200060010,Qualité des matériaux,contrainte règlementaire,17.6470588235294
200060010,Qualité de l'eau,intérêt personnel,100
200060010,Qualité de l'air,évolution de la demande client,100
200060010,Energies renouvelables,intérêt personnel,50
200060010,Energies renouvelables,évolution de la demande client,25
