CODGEO;LIBGEO;EPCI;LIBEPCI;DEP;REG;NOM_DEPT;NOM_REG,,
53129;Launay-Villiers;245300306;CC du Pays de Loiron;53;52;MAYENNE;PAYS DE LA LOIRE,,
53147;Mayenne;200055887;CC Mayenne Communauté;53;52;MAYENNE;PAYS DE LA LOIRE,,
53178;Peuton;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
53246;Saint-Pierre-des-Nids;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53267;Vaiges;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
85010;Avrillé;200071900;CC Moutierrois Talmondais;85;52;VENDEE;PAYS DE LA LOIRE,,
85054;La Chapelle-Hermier;248500530;CC du Pays des Achards;85;52;VENDEE;PAYS DE LA LOIRE,,
85061;Château-Guibert;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
85143;Mervent;200071934;CC Pays de Fontenay-Vendée;85;52;VENDEE;PAYS DE LA LOIRE,,
85162;Nieul-sur-l'Autise;248500563;CC Vendée,Sèvre,Autise;85;52;VENDEE;PAYS DE LA LOIRE
85164;Notre-Dame-de-Monts;248500258;CC Océan Marais de Monts;85;52;VENDEE;PAYS DE LA LOIRE,,
85214;Sainte-Foy;200071165;CA Les Sables d'Olonne;85;52;VENDEE;PAYS DE LA LOIRE,,
85276;Saint-Vincent-Sterlanges;248500340;CC Pays de Chantonnay;85;52;VENDEE;PAYS DE LA LOIRE,,
85300;Venansault;248500589;CA La Roche-sur-Yon;85;52;VENDEE;PAYS DE LA LOIRE,,
72010;Asnières-sur-Vègre;247200090;CC de Sablé-sur-Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72142;Grandchamp;200072700;CC Haute Sarthe Alpes Mancelles;72;52;SARTHE;PAYS DE LA LOIRE,,
72175;Luché-Pringé;200073112;CC Sud Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72188;Marollette;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72209;Montreuil-le-Chétif;200072700;CC Haute Sarthe Alpes Mancelles;72;52;SARTHE;PAYS DE LA LOIRE,,
72221;Nogent-sur-Loir;200070373;CC Loir-Lucé-Bercé;72;52;SARTHE;PAYS DE LA LOIRE,,
72243;Pontvallain;200073112;CC Sud Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72257;Rouillon;247200132;CU Le Mans Métropole;72;52;SARTHE;PAYS DE LA LOIRE,,
72261;Ruillé-en-Champagne;200072718;CC de la Champagne Conlinoise et du Pays de Sillé;72;52;SARTHE;PAYS DE LA LOIRE,,
72264;Sablé-sur-Sarthe;247200090;CC de Sablé-sur-Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72345;Surfonds;200072684;CC Le Gesnois Bilurien;72;52;SARTHE;PAYS DE LA LOIRE,,
49011;Artannes-sur-Thouet;200071876;CA Saumur Val de Loire;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49231;Nuaillé;200071678;CA du Choletais;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49248;Ombrée d'Anjou;244900809;CC Anjou Bleu Communauté;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49272;Saint-Clément-des-Levées;200071876;CA Saumur Val de Loire;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49334;Sermaise;200068955;CC Anjou Loir et Sarthe;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49338;Soulaines-sur-Aubance;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
53026;Beaulieu-sur-Oudon;245300306;CC du Pays de Loiron;53;52;MAYENNE;PAYS DE LA LOIRE,,
53045;La Brûlatte;245300306;CC du Pays de Loiron;53;52;MAYENNE;PAYS DE LA LOIRE,,
53066;Chemazé;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
53077;Cossé-le-Vivien;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53094;Entrammes;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53103;Le Genest-Saint-Isle;245300306;CC du Pays de Loiron;53;52;MAYENNE;PAYS DE LA LOIRE,,
53121;Javron-les-Chapelles;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53145;Marigné-Peuton;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
53172;Origné;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
53240;Saint-Martin-du-Limet;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53255;Sainte-Suzanne-et-Chammes;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53260;Simplé;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53262;Soulgé-sur-Ouette;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53269;Vautorte;245300355;CC de l'Ernée;53;52;MAYENNE;PAYS DE LA LOIRE,,
44013;Besné;244400644;CA de la Région Nazairienne et de l'Estuaire (Carene);44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44096;Mésanger;244400552;CC du Pays d'Ancenis;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44146;Rougé;200072726;CC Châteaubriant-Derval;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44196;Sévérac;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44214;Vay;244400537;CC de la Région de Nozay;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
85020;Benet;248500563;CC Vendée,Sèvre,Autise;85;52;VENDEE;PAYS DE LA LOIRE
85033;Bourneau;200071934;CC Pays de Fontenay-Vendée;85;52;VENDEE;PAYS DE LA LOIRE,,
85035;Bretignolles-sur-Mer;200023778;CC du Pays de Saint Gilles-Croix-de-Vie;85;52;VENDEE;PAYS DE LA LOIRE,,
85086;Falleron;200072882;CC de Vie et Boulogne;85;52;VENDEE;PAYS DE LA LOIRE,,
85123;Liez;248500563;CC Vendée,Sèvre,Autise;85;52;VENDEE;PAYS DE LA LOIRE
85132;Maillé;248500563;CC Vendée,Sèvre,Autise;85;52;VENDEE;PAYS DE LA LOIRE
85236;Saint-Julien-des-Landes;248500530;CC du Pays des Achards;85;52;VENDEE;PAYS DE LA LOIRE,,
85251;Saint-Maurice-des-Noues;248500415;CC du Pays de la Châtaigneraie;85;52;VENDEE;PAYS DE LA LOIRE,,
85285;Le Tablier;248500589;CA La Roche-sur-Yon;85;52;VENDEE;PAYS DE LA LOIRE,,
85294;La Tranche-sur-Mer;200073260;CC Sud Vendée Littoral;85;52;VENDEE;PAYS DE LA LOIRE,,
44089;Malville;200072734;CC Estuaire et Sillon;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44120;Le Pellerin;244400404;Nantes Métropole;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
49048;Briollay;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49120;Denée;200071553;CC Loire Layon Aubance;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49160;Ingrandes-Le Fresne sur Loire;244400552;CC du Pays d'Ancenis;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49218;Montrevault-sur-Èvre;200060010;CA Mauges Communauté;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49266;Saint-Augustin-des-Bois;200071868;CC des Vallées du Haut-Anjou;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49271;Saint-Clément-de-la-Place;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49298;Saint-Léger-des-Bois;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49306;Saint-Martin-du-Fouilloux;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
72018;Avesnes-en-Saosnois;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72050;Brûlon;200040475;CC Loué - Brûlon - Noyen;72;52;SARTHE;PAYS DE LA LOIRE,,
72051;Cérans-Foulletourte;200073112;CC Sud Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72052;Chahaignes;200070373;CC Loir-Lucé-Bercé;72;52;SARTHE;PAYS DE LA LOIRE,,
72160;Lavernat;200070373;CC Loir-Lucé-Bercé;72;52;SARTHE;PAYS DE LA LOIRE,,
72168;Loué;200040475;CC Loué - Brûlon - Noyen;72;52;SARTHE;PAYS DE LA LOIRE,,
72220;Nogent-le-Bernard;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72246;Prévelles;247200686;CC du Pays de l'huisne Sarthoise;72;52;SARTHE;PAYS DE LA LOIRE,,
72289;Sainte-Jamme-sur-Sarthe;200068963;CC Maine Coeur de Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72326;Saosnes;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72352;Terrehault;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
44031;La Chapelle-Glain;200072726;CC Châteaubriant-Derval;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44047;Couëron;244400404;Nantes Métropole;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44070;La Haie-Fouassière;200067635;CA Clisson Sèvre et Maine;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44077;Joué-sur-Erdre;244400552;CC du Pays d'Ancenis;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
53047;Carelles;245300389;CC du Bocage Mayennais;53;52;MAYENNE;PAYS DE LA LOIRE,,
53048;Chailland;245300355;CC de l'Ernée;53;52;MAYENNE;PAYS DE LA LOIRE,,
53083;Courcité;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53140;Louverné;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53155;Montenay;245300355;CC de l'Ernée;53;52;MAYENNE;PAYS DE LA LOIRE,,
53186;Quelaines-Saint-Gault;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53208;Saint-Cyr-en-Pail;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53209;Saint-Cyr-le-Gravelais;245300306;CC du Pays de Loiron;53;52;MAYENNE;PAYS DE LA LOIRE,,
53216;Saint-Fraimbault-de-Prières;200055887;CC Mayenne Communauté;53;52;MAYENNE;PAYS DE LA LOIRE,,
53248;Saint-Pierre-sur-Erve;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53251;Saint-Quentin-les-Anges;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
49027;Bégrolles-en-Mauges;200071678;CA du Choletais;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49130;Écuillé;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49149;Gennes-Val de Loire;200071876;CA Saumur Val de Loire;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49241;Le Plessis-Grammoire;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49247;La Possonnière;200071553;CC Loire Layon Aubance;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49260;La Romagne;200071678;CA du Choletais;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49278;Sainte-Gemmes-sur-Loire;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49284;Saint-Germain-des-Prés;200071553;CC Loire Layon Aubance;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49374;Villebernier;200071876;CA Saumur Val de Loire;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
53072;Commer;200055887;CC Mayenne Communauté;53;52;MAYENNE;PAYS DE LA LOIRE,,
53084;Craon;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53123;Juvigné;245300355;CC de l'Ernée;53;52;MAYENNE;PAYS DE LA LOIRE,,
53148;Mée;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53181;Pontmain;245300389;CC du Bocage Mayennais;53;52;MAYENNE;PAYS DE LA LOIRE,,
53237;Saint-Mars-sur-Colmont;245300389;CC du Bocage Mayennais;53;52;MAYENNE;PAYS DE LA LOIRE,,
44028;Le Cellier;244400552;CC du Pays d'Ancenis;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44057;Fégréac;243500741;CC du Pays de Redon;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
