intercommunalite.2017_EPCI,Zone.intervention
200000438,96.1111111111111
200023778,35
200055887,76.3461538461538
200060010,44.7368421052632
200067346,52.0833333333333
200067866,100.882352941176
200068955,101.944444444444
200070233,44.75
200071546,86.3414634146341
200071553,70.7352941176471
200071678,76.9354838709677
200071868,47.3333333333333
200071876,77.9411764705882
200071900,48
200071918,77.9411764705882
200071934,46.4285714285714
200072676,42.5
200072718,95.7142857142857
200072726,56.3888888888889
200072734,75.4166666666667
200072882,44.1666666666667
200073260,52.1481481481481
243500741,58.75
244400404,60.25
244400503,68.3333333333333
244400552,41.8181818181818
244400586,37.7777777777778
244400610,43.1481481481481
244400644,43.125
244900015,62.5714285714286
244900809,59.7058823529412
245300223,52.6086956521739
245300330,67.5
245300389,50.9
247200447,52.2727272727273
247200629,44.2857142857143
247200686,45.4347826086956
248500191,23.2142857142857
248500258,40.5555555555556
248500340,51.6666666666667
248500415,36.6666666666667
248500464,56.75
248500530,25.8823529411765
248500589,75.1666666666667
248500621,70.4545454545455
248500662,70
