name,longitude,latitude
1DAY EXPRESS,-1.6461560999999847,47.3742437
2M AND CO,-0.708073000000013,47.82387199999999
4 M INDUSTRIES,-1.180129099999931,46.8484807
53 COULEURS BOIS,-0.3357949999999619,48.42237000000001
ADRION SAS,-1.7123225000000275,47.29896129999999
ADRION SAS,-1.6089449999999488,46.6847475
ADRION SAS,-1.5238594999999577,47.2484457
ADRION SAS,0.11131380000006175,47.5063959
ADRION SAS,-1.7353815000000168,46.7029711
ADRION SAS,-1.7710954000000356,46.56434530000001
ADRION SAS,-2.181855300000052,47.2967857
ADRION SAS,-1.549654099999998,46.72266949999999
ADRION SAS,-1.3263534000000163,47.2819084
ADRION SAS,-1.541678999999931,47.1500804
ADRION SAS,-0.2840896000000157,47.4574717
AG WOODSTOCK,-0.9829393999999638,46.948266
AIME BONNET ET ASSOCIES,-1.051894500000003,46.6989838
AKENA Vérandas,-1.4262883999999758,46.73809929999999
ALEXANDRE DEPANNAGE,-1.7752795000000106,46.5247767
ALEXANDRE PROVOST COIFFURE,0.13062330000002476,48.22525719999999
ALIENOR PISCINES PAYSAGE,-0.16637500000001637,47.180121
ALLAIRE YANN et TECHNICHAUF,0.19175020000000131,47.9965533
ALLARD SARL,-0.5514628999999331,47.4708785
ALLIANCE AUTOMOBILES,-1.4041005000000268,46.93747440000001
AMD CHAUFFAGE,-0.08676620000005641,47.251682
AMDB CHIRON POHARDY MENUISERIES,-0.9415762999999515,47.0255635
AMELINEAU OLIVIER,-1.5958229000000301,46.4172034
AMIAUD JEAN LOUIS,-1.3189654999999902,46.8848571
ANDRE BENETEAU,-1.5521889999999985,47.2813115
ANSAMBLE,-2.7562571999999363,47.6420504
AOB,-0.9392914999999675,46.989726
AQUASENSIA,-1.44113219999997,47.2663863
AR CARTON,-0.9161695999999893,47.0374314
ARCONIC FIXATIONS SIMMONDS SAS,0.4536412999999584,48.2705345
ARJOWIGGINS PAPIERS COUCHES,-1.4239516000000094,46.78165930000001
ARJOWIGGINS PAPIERS COUCHES,0.7440288999999893,47.8271904
ARMOR SAS,-1.597584299999994,47.100248
ARMOR SAS,-1.597584299999994,47.100248
ARO WELDING TECHNOLOGIES SAS,0.4260520999999926,47.6899169
